Term,Category,Reasoning,NLD
Continental Breakup,Geological Process,"The NLD describes this as a 'tectonic phase' and a 'process of rifting' that separates, initiates, and generates geological objects, which directly aligns with the definition of a Geological Process.","A Ruptura Continental é a fase tectônica final que culmina o processo de rifteamento, separando a litosfera continental e iniciando a formação de uma nova bacia oceânica através da geração de assoalho oceânico. Nas bacias do Pré-Sal, este evento do Cretáceo Inferior encerra a sedimentação sin-rifte, que inclui as rochas geradoras e os reservatórios lacustres, e precede a deposição da seção salífera que atua como selo regional."
Seafloor Spreading,Geological Process,The NLD explicitly defines the term as a tectonic process ('processo tectônico') that generates new oceanic crust and modifies the arrangement of geological objects (lithospheric plates).,"Expansão do assoalho oceânico é um processo tectônico que promove o afastamento de placas litosféricas através da geração contínua de nova crosta oceânica ao longo das dorsais meso-oceânicas. Este mecanismo foi responsável pela abertura do Oceano Atlântico Sul, estabelecendo a arquitetura da margem passiva brasileira. A subsidência térmica resultante deste processo é um elemento fundamental para a maturação da rocha geradora e para a formação das acumulações do Pré-Sal."
Mantle Plume,Geological Process,"The NLD describes a mantle plume as a dynamic 'upwelling of material' and a 'mechanism' that causes other geological events like uplift and volcanism, which fits the definition of a process.","Uma Pluma do Manto é uma anomalia termomecânica caracterizada pela ascensão de material rochoso anomalamente quente e de baixa densidade desde as profundezas do manto em direção à litosfera. No contexto da margem continental brasileira, a sua interação com a litosfera é o principal mecanismo responsável pelo soerguimento crustal, vulcanismo de grande escala (Província Magmática do Paraná-Etendeka) e o rifteamento que deu origem às bacias do Pré-Sal. A sua influência térmica residual é um fator crítico para a maturação das rochas geradoras do sistema petrolífero."
Hotspot,Sedimentary Facies,"The NLD defines a hotspot as a zone within a reservoir characterized by a specific set of exceptional petrophysical properties, which aligns with the definition of a facies.","Um hotspot é uma zona de um reservatório que apresenta propriedades petrofísicas excepcionais, como alta porosidade e permeabilidade, responsáveis pela maior parte do fluxo e da produtividade de hidrocarbonetos."
Crustal Thinning,Geological Process,The NLD explicitly defines the term as a 'geodynamic process' that modifies a geological object (the lithosphere) by reducing its thickness.,"Afinamento crustal é um processo geodinâmico que consiste na redução da espessura da litosfera em resposta a esforços extensionais. Este processo provoca a ascensão da astenosfera e o consequente aumento do fluxo térmico, controlando a subsidência e a arquitetura inicial das bacias rifte. No Pré-Sal brasileiro, este mecanismo foi fundamental para a geração de espaço de acomodação e para a maturação das rochas geradoras lacustres do sistema petrolífero."
Lithospheric Stretching,Geological Process,"The NLD explicitly defines the term as a 'processo tectônico' (tectonic process) that modifies geological objects like the crust and mantle, which directly aligns with the definition of a Geological Process.","O estiramento litosférico é um processo tectônico extensional que causa o afinamento da crosta e do manto litosférico superior. Este processo foi o mecanismo fundamental para a formação das bacias rifte do Atlântico Sul, gerando o espaço de acomodação e o fluxo de calor necessários para a deposição e maturação dos elementos do sistema petrolífero do Pré-Sal. A sua evolução controla a arquitetura estrutural que define as trapas e a distribuição dos reservatórios carbonáticos."
Isostasy,Geological Process,"The NLD describes isostasy through its 'isostatic adjustments,' which are physical processes like subsidence that modify the arrangement of geological objects (the lithosphere) over time.","Isostasia é um princípio geofísico que descreve o estado de equilíbrio gravitacional da litosfera terrestre flutuando sobre a astenosfera. Ajustes isostáticos, como a subsidência causada pelo afinamento crustal durante o rifteamento e pela posterior carga sedimentar, foram fundamentais para a criação do espaço de acomodação e para a maturação térmica dos sistemas petrolíferos do Pré-Sal brasileiro."
Flexure,Geological Structure,"The NLD defines a flexure as a 'monoclinal fold' and a 'tectonic feature', which describes the internal arrangement and configuration of a geological object.","Flexura é uma dobra monoclinal de escala regional que, no contexto das bacias do Pré-Sal brasileiro, define a transição entre altos estruturais do embasamento e os depocentros da fase rifte. Esta feição tectônica exerce um controle primário na distribuição e espessura dos reservatórios carbonáticos da subsequente fase sag. Sua gênese está associada à subsidência diferencial ao longo de falhas crustais durante a abertura do Atlântico Sul."
Volcanic Margin,Geological Object,"The NLD describes it as a continental margin, a large-scale rigid entity composed of igneous rocks and generated by a geological process (continental breakup).","Margem vulcânica é uma margem continental passiva que é caracterizada por um volume anômalo de rochas ígneas geradas durante a ruptura continental. No contexto do Pré-Sal brasileiro, estas rochas formam o embasamento sobre o qual se depositaram as sequências rifte e controlaram o fluxo térmico que maturou as rochas geradoras. Sismicamente, sua principal expressão são os pacotes de Refletores Mergulhantes em Direção ao Mar (SDRs)."
Non-Volcanic Margin,Geological Object,"The NLD describes a large-scale physical entity (a continental margin) with a distinct identity and unity, formed by a geological process (rifting), which fits the definition of a Geological Object.","Uma margem não-vulcânica é um tipo de margem continental passiva que resulta do estiramento e adelgaçamento da litosfera continental com atividade magmática escassa ou ausente durante o rifting. Sua arquitetura é dominada por blocos falhados rotacionados que formam uma topografia de horsts e grabens. Esta configuração estrutural controla a deposição dos sistemas petrolíferos lacustres do pré-sal, incluindo rochas geradoras e reservatórios sin-rifte."
Passive Margin,Geological Object,"The NLD defines it as a physical entity (a transition between crust types) that results from geological processes (rifting, subsidence), which fits the definition of a Geological Object.","Uma margem passiva é a transição intraplaca entre a crosta continental e a oceânica que resulta do rifteamento e da subsequente subsidência térmica que se seguem à quebra de um continente. Sua evolução tectono-sedimentar governa a arquitetura das bacias do Pré-Sal e a deposição de seus elementos do sistema petrolífero, como as rochas geradoras lacustres, os reservatórios carbonáticos e a extensa camada de sal selante."
Plate Tectonics,Geological Process,"The NLD describes it as a process of large-scale movement and rifting of the lithosphere that generates and modifies geological features, such as creating accommodation space.","Tectônica de Placas é a teoria geológica fundamental que descreve a movimentação em larga escala da litosfera terrestre, responsável pela fragmentação do supercontinente Gondwana. Este processo de rifteamento continental gerou o espaço de acomodação e o regime termal necessários para a deposição e maturação dos elementos do sistema petrolífero do Pré-Sal. A subsequente deriva continental e a subsidência termal controlaram a deposição da espessa camada de sal aptiana, que atua como a principal rocha selante regional."
Compressional Tectonics,Geological Process,"The NLD defines the term as a 'processo' (process) of crustal deformation that generates and modifies geological structures, such as folds and faults.","Tectônica Compressional é um regime de deformação crustal que resulta de tensões que encurtam e espessam a litosfera, tipicamente associado à convergência de placas tectônicas. Este processo é caracterizado pela geração de estruturas geológicas como dobras, falhas reversas e de cavalgamento. No contexto do Pré-Sal brasileiro, sua manifestação cenozoica é responsável pela inversão de falhas pré-existentes e pela geração de amplos anticlinais que constituem importantes trapas estruturais para hidrocarbonetos."
Strike-Slip Tectonics,Geological Process,"The NLD describes this as a 'regime of crustal deformation' that causes displacement, reactivation, and formation of geological features, which aligns with the definition of a geological process.","Tectônica direcional é um regime de deformação crustal que é governado por um campo de tensões de cisalhamento horizontal, provocando o deslocamento lateral de blocos rochosos ao longo de falhas transcorrentes. No contexto do Pré-Sal brasileiro, este regime é fundamental durante a fase pós-rifte para a reativação de falhas preexistentes e a formação de altos estruturais que constituem as principais trapas para hidrocarbonetos. Adicionalmente, a tectônica direcional influencia a compartimentalização e o desenvolvimento de sistemas de fraturas que controlam a qualidade dos reservatórios carbonáticos."
Salt Canopy,Sedimentary Geological Object,"The NLD defines it as a 'salt body' ('corpo salino') composed of 'evaporites,' which are a type of sedimentary rock, thus classifying it as a geological object constituted by sedimentary rock.","Canópia de Sal é um corpo salino alóctone de grande extensão lateral que se forma pela coalescência de múltiplos diápiros ou pelo espalhamento de uma napa de sal sobre estratos mais jovens. No contexto do Pré-Sal brasileiro, estas feições são compostas por evaporitos da sequência aptiana e exercem um controle fundamental na deformação dos estratos adjacentes e na distribuição do fluxo de calor da bacia. Sua geometria complexa representa um desafio significativo para o imageamento sísmico dos reservatórios carbonáticos subjacentes."
Salt Stock,Sedimentary Geological Object,"The NLD defines it as a diapiric saline intrusion, which is a body ('corpo') constituted by salt, a type of sedimentary rock.","Um stock de sal é uma intrusão salina diapírica, de geometria subcilíndrica, que perfura verticalmente a seção sedimentar sobrejacente. No contexto do Pré-Sal brasileiro, este corpo ascende da camada de sal aptiana, deformando as rochas pós-sal e criando condições favoráveis para a formação de trapas petrolíferas em seus flancos. Adicionalmente, sua alta condutividade térmica influencia o fluxo de calor na bacia, impactando a maturação das rochas geradoras."
Salt Nappe,Sedimentary Geological Object,"The NLD describes the term as an 'extensive salt body', which is a geological object constituted by salt, a type of sedimentary rock.","Uma Nappe de Sal é um extenso corpo de sal alóctone que, impulsionado pela tectônica gravitacional na margem continental, se deslocou horizontalmente por dezenas de quilômetros sobre estratos pós-sal mais jovens. Sua geometria complexa e alta condutividade térmica influenciam diretamente a formação de trapas estruturais e a maturação de rochas geradoras no sistema petrolífero. Nas bacias do pré-sal brasileiro, estas feições representam tanto um desafio exploratório para a aquisição sísmica quanto um importante elemento selante e formador de trapas."
Salt Glacier,Geological Object,"The NLD defines it as a 'body of salt' ('corpo de sal'), which is a distinct, bounded entity generated by geological processes like extrusion and gravity-driven flow.","Uma geleira de sal é um corpo de sal alóctone que flui lateralmente na superfície ou subsuperfície rasa, impulsionado pela gravidade e pelo soterramento diferencial. No contexto das bacias do Pré-Sal brasileiro, estas feições são formadas pela extrusão do sal Aptiano e frequentemente se amalgamam para formar extensos dosséis de sal. Sua geometria complexa e evolução influenciam diretamente a maturação de rochas geradoras e a formação de trapas estruturais no domínio sub-salino."
Salt Feeder,Sedimentary Geological Object,"The NLD defines this term as a 'saline conduit', which is a geological body constituted by salt, a type of sedimentary rock.",Alimentador de Sal é um conduto salino que conecta a camada de sal fonte autóctone a corpos salinos alóctones situados em níveis estratigráficos mais rasos. Esta estrutura representa a via de ascensão do sal que sustenta o crescimento de diápiros e a formação de dosséis salinos. Sua atividade é um elemento fundamental da halocinese que influencia a arquitetura estrutural e deposicional da bacia.
Salt Roller,Geological Structure,"The NLD explicitly defines the term as an 'anticlinal... structure' that results from the deformation of strata, fitting the definition of a configuration and arrangement of geological parts.","Um rolo de sal é uma estrutura halocinética anticlinal e alongada que se forma a partir do fluxo lateral e rotação do sal da Formação Ariri (Aptiano), deformando os estratos sedimentares suprajacentes. Este movimento gera um anticlinal de arrasto (rollover) na seção pós-sal, criando trapas estruturais que são alvos exploratórios cruciais nas bacias da margem leste brasileira. A evacuação do sal que alimenta o rolo é tipicamente acomodada por uma falha lístrica em sua base, que atua como plano de descolamento."
Salt Wall,Sedimentary Geological Object,"The definition describes a 'diapiric body of salt' (corpo diapírico de sal), which is a geological object constituted by evaporites, a type of sedimentary rock.","Um Muro de Sal é um corpo diapírico de sal, alongado e de flancos íngremes, que resulta da ascensão e intrusão de evaporitos da seção aptiana através das camadas sedimentares sobrejacentes. No contexto do Pré-Sal brasileiro, ele funciona como um elemento estrutural chave, constituindo um selante lateral altamente eficaz e definindo trapas para as acumulações de hidrocarbonetos nos reservatórios carbonáticos."
Salt Withdrawal Basin,Depositional Unit,"The NLD describes it as a large-scale 'sedimentary depression' that is filled by 'syn-kinematic deposits,' fitting the definition of a recognizable sedimentary geological object.","Uma bacia de retirada de sal é uma depressão sedimentar que se forma pela subsidência resultante do escoamento lateral de uma camada de sal subjacente. Este processo é tipicamente induzido pela carga diferencial dos sedimentos sobrejacentes, que força o sal a migrar das áreas de maior pressão para as de menor pressão. A subsidência cria espaço de acomodação que é preenchido por depósitos sin-cinemáticos, os quais podem constituir importantes reservatórios ou rochas geradoras no sistema petrolífero pós-sal."
Roho System,Geological Structure,"The NLD defines the term as a tectonic system and a 'structural arrangement' of faults and blocks, which corresponds to the definition of a Geological Structure as the configuration and mutual relationships of different parts of a geological object.","Um Sistema Roho é um sistema tectônico extensional caracterizado por uma falha mestra normal e lístrica que se aplaina em um nível de descolamento dúctil, como a camada de sal Aptiano. O movimento ao longo desta falha causa a rotação do bloco de teto, gerando um anticlinal de rollover com falhas sintéticas e antitéticas associadas. Este arranjo estrutural é um mecanismo primário para a formação de trapas para hidrocarbonetos na seção pós-sal das bacias da margem continental brasileira."
Counter-Regional Fault System,Geological Structure,"The NLD describes a 'set of faults' and its role in 'structural compartmentalization,' which aligns with the definition of a Geological Structure as the configuration and mutual relationships of a Geological Object's parts.","Um Sistema de Falhas Contra-Regional é um conjunto de falhas normais lístricas que mergulha em direção ao continente, em oposição ao basculamento regional da margem para o oceano. Este sistema, formado durante a fase rifte, é fundamental na compartimentação estrutural do pré-sal, controlando a geometria dos altos e a deposição de rochas geradoras e reservatórios."
Tachydrite,Sedimentary Rock,"The NLD defines Tachydrite as an evaporitic mineral that constitutes a layer, which is a type of solid rock formed through sedimentary processes.","Taquidrita é um mineral evaporítico de cloreto hidratado de cálcio e magnésio que constitui uma camada na base da seção salina aptiana do pré-sal brasileiro. Caracterizada por sua altíssima solubilidade e baixa competência mecânica em relação à halita, sua presença representa um risco significativo para a integridade da rocha selante do sistema petrolífero. Esta camada é também um importante desafio geomecânico e de perfuração na exploração de hidrocarbonetos."
Carnallite,Earth Material,"The NLD describes Carnallite as an evaporitic mineral that constitutes a component of a rock, fitting the definition of a natural amount of matter generated by a geological process.","Carnalita é um mineral evaporítico de cloreto hidratado de potássio e magnésio que, na seção salífera aptiana do pré-sal brasileiro, constitui um importante componente da rocha selante e um significativo georrisco para a perfuração. Este mineral é caracterizado por sua baixa competência mecânica e alta solubilidade, o que pode causar instabilidades em poços."
Sylvite,Earth Material,"The NLD defines Sylvite as an evaporitic mineral, which is a natural, solid amount of matter generated by a geological process, fitting the definition of an Earth Material.","A Silvita é um mineral evaporítico do grupo dos halogenetos, composto por cloreto de potássio (KCl), que ocorre intercalado com halita e outros sais na seção selante do Pré-Sal. Sua maior ductilidade em relação à halita influencia diretamente a halocinese, controlando a distribuição de tensões e a geometria estrutural dos reservatórios carbonáticos subjacentes."
Intra-formational Seal,Sedimentary Geological Object,"The NLD defines the term as a 'layer of rock' composed of materials like 'laminites' or 'pelites', which are sedimentary, thus classifying it as a geological object constituted by sedimentary rock.","Um selo intraformacional é uma camada de rocha de baixa permeabilidade que, localizada no interior de uma formação geológica predominantemente reservatório, atua como uma barreira ao fluxo de fluidos. Sua presença promove a compartimentação vertical ou lateral do sistema petrolífero, podendo isolar zonas com diferentes pressões e contatos de fluidos. Nos carbonatos do Pré-sal, estes selos são comumente representados por laminitos microbianos densos, pelitos ou horizontes cimentados intercalados às fácies reservatório."
Seal Integrity,quality,"The NLD defines this term as the 'ability' of a geological formation to act as a barrier, which is a property that inheres in a bearer, fitting the BFO definition of a quality.","Integridade da Rocha Selante é a capacidade de uma formação geológica de baixa permeabilidade que lhe permite atuar como uma barreira efetiva à migração de fluidos, sustentando o diferencial de pressão e garantindo a retenção de hidrocarbonetos em um reservatório."
Fault Seal,Geological Object,"The NLD describes a Fault Seal as a physical barrier composed of rock, which is a rigid entity generated by a geological process (faulting).","Selo de Falha é uma barreira de baixa permeabilidade, associada a uma zona de falha, que impede ou retarda a migração de fluidos em subsuperfície. Este selo pode ser gerado pela justaposição de rochas reservatório contra rochas selantes, ou pelo desenvolvimento de rochas de falha com permeabilidade reduzida, como cataclasitos cimentados comuns nos carbonatos do Pré-Sal. A sua integridade é um elemento crítico na definição de trapas estruturais e na avaliação do risco exploratório."
Capillary Seal,Geological Process,"The NLD describes a 'sealing mechanism' that actively prevents the flow of hydrocarbons, which is a physical process.","Selo capilar é um mecanismo de vedação que impede o fluxo de hidrocarbonetos devido à alta pressão capilar de entrada nos poros de garganta fina da rocha selante. A vedação ocorre quando essa pressão capilar excede a pressão de empuxo exercida pela coluna de hidrocarbonetos acumulada. No contexto do Pré-Sal brasileiro, este mecanismo é fundamental para a retenção em trapas com selos intraformacionais, como carbonatos de baixa permeabilidade ou evaporitos."
Hydrodynamic Trap,Geological Structure,"The NLD describes a specific configuration of geological elements and dynamic fluid conditions that create an arrangement capable of trapping hydrocarbons, which fits the definition of a geological structure.","Uma Armadilha Hidrodinâmica é um tipo de armadilha de petróleo que aprisiona hidrocarbonetos quando o gradiente de pressão gerado pelo fluxo descendente de água de formação se contrapõe à sua força de flutuabilidade, impedindo a migração ascendente. Esta condição dinâmica resulta em uma acumulação com um contato óleo-água inclinado, que mergulha na direção do fluxo hidrodinâmico. Sua ocorrência é favorecida em reservatórios de alta permeabilidade, como os carbonatos do Pré-Sal, onde fluxos regionais de água podem ser significativos."
Combination Trap,Geological Structure,"The NLD defines a trap as a configuration formed by a combination of structural and stratigraphic elements, which fits the definition of a Geological Structure as the arrangement and mutual relationships of different geological parts.","Armadilha Mista é uma armadilha petrolífera cujo fechamento é formado pela combinação de elementos estruturais e estratigráficos. No contexto do Pré-Sal brasileiro, estas armadilhas ocorrem tipicamente em altos estruturais gerados pela halocinese, onde a acumulação é lateralmente limitada pelo acunhamento de fácies reservatório, como os microbialitos. Nesses casos, tanto o ponto de extravasamento estrutural quanto o limite deposicional ou diagenético do reservatório são cruciais para definir o volume de hidrocarbonetos acumulado."
Generation Pod,Geological Object,"The NLD defines a three-dimensional volume of rock, which is a physical entity defined by having undergone a specific geological process (thermal maturation).",Gota de Geração é um volume tridimensional de rocha geradora que atingiu a maturação térmica necessária para gerar e expelir hidrocarbonetos.
Kitchen Area,site,"The term describes a three-dimensional, immaterial region within a sedimentary basin whose boundaries are determined in relation to material entities (source rocks) and the processes affecting them, which fits the BFO definition of a site.","Área de Cozinha é a região de uma bacia sedimentar onde as rochas geradoras atingiram maturação térmica suficiente para a geração e expulsão de volumes significativos de hidrocarbonetos. No contexto do Pré-Sal brasileiro, esta área corresponde às porções mais profundas da seção sin-rifte, onde os folhelhos e margas lacustres da Formação Coqueiros foram submetidos às condições da janela de geração de óleo e gás. Esta região constitui a fonte primária que carrega os reservatórios carbonáticos microbiais e coquinas com hidrocarbonetos de baixo teor de enxofre."
Overburden,Depositional System,"The NLD describes the term as a 'column of sedimentary rocks' and a 'succession', which fits the definition of an aggregate of mereotopologically linked depositional units.","Sobrecarga é a coluna de rochas sedimentares que se sobrepõe a um intervalo geológico de interesse, como um reservatório ou rocha geradora. No sistema petrolífero do Pré-Sal brasileiro, esta coluna é constituída pela espessa camada de sal da seção salífera e por toda a sucessão marinha pós-salífera. Sua função principal é atuar como selo regional, além de prover a pressão litostática para a compactação e maturação termal dos sedimentos subjacentes."
Primary Migration,Geological Process,"The NLD explicitly defines the term as a 'processo' (process) of hydrocarbon expulsion and movement from a source rock, which modifies the arrangement of earth materials.","Migração Primária é o processo de expulsão de hidrocarbonetos da rocha geradora que é impulsionado pelo gradiente de pressão resultante da maturação do querogênio e da compactação. Este movimento ocorre através da matriz de baixa permeabilidade da rocha geradora, como os folhelhos lacustres do Pré-Sal, e cessa quando os fluidos alcançam uma rocha carreadora ou reservatório de maior permeabilidade."
Secondary Migration,Geological Process,"The NLD explicitly defines the term as a 'processo' (process) that describes the movement of hydrocarbons through rocks, which modifies the arrangement of geological materials.","Migração Secundária é um processo do sistema petrolífero que descreve o movimento de hidrocarbonetos, após sua expulsão da rocha geradora, através de rochas carreadoras porosas e permeáveis até uma armadilha geológica. Este deslocamento é governado principalmente por forças de flutuabilidade, resultantes do contraste de densidade entre os hidrocarbonetos e a água de formação. No Pré-Sal brasileiro, este processo é responsável por carregar os reservatórios carbonáticos lacustres com o óleo gerado nos folhelhos da seção sag, culminando na acumulação sob a rocha selante evaporítica."
Vertical Migration,Geological Process,"The NLD explicitly defines the term as a 'process of fluid flow' and 'upward movement of hydrocarbons,' which aligns with the definition of a physical process that modifies the arrangement of geological materials.","Migração Vertical é o processo de fluxo de fluidos que descreve o movimento ascendente de hidrocarbonetos desde a rocha geradora em direção a posições estratigráficas mais rasas. Este movimento é impulsionado principalmente por forças de empuxo resultantes da diferença de densidade entre os hidrocarbonetos e a água de formação. No contexto do Pré-Sal, ocorre predominantemente através de falhas e fraturas que cortam as sequências carbonáticas infra-sal."
Lateral Migration,Geological Process,The NLD explicitly defines the term as a process of secondary migration involving the horizontal flow of hydrocarbons through porous rocks.,"Migração Lateral é um processo de migração secundária que consiste no fluxo predominantemente horizontal de hidrocarbonetos através de rochas carreadoras porosas, desde a área de geração até a sua acumulação em uma trapa geológica. Este movimento é impulsionado principalmente por forças de empuxo e controlado pela geometria e continuidade das fácies carreadoras, como os coquinas e microbialitos do Pré-Sal. Tal mecanismo é fundamental para o carregamento de grandes acumulações em trapas estruturais e estratigráficas distantes das cozinhas de geração."
Migration Focus,site,"The NLD defines this term as an 'area of convergence' for hydrocarbon flows, which is an immaterial region whose location is determined in relation to material entities like structural elements and carrier beds.","Foco de Migração é uma área de convergência de fluxos de hidrocarbonetos que canaliza a carga de uma extensa cozinha de geração para uma trapa ou um conjunto de trapas prospectivas. Esta concentração é frequentemente controlada por elementos estruturais, como altos de embasamento e falhas, que direcionam a migração secundária através de leitos carreadores. A definição desta feição é um elemento crítico na avaliação do risco de carga em prospectos exploratórios do Pré-Sal."
Biodegradation,Geological Process,"The definition explicitly describes it as a 'process of secondary alteration of petroleum' caused by biological activity, which modifies the composition of a geological material.","Biodegradação é um processo de alteração secundária do petróleo que é causado pela atividade metabólica de microrganismos no reservatório. Este processo remove seletivamente compostos, como os n-alcanos, resultando em um aumento da densidade e viscosidade do óleo. Sua ocorrência é controlada principalmente pela temperatura, sendo mais intensa em reservatórios com temperaturas inferiores a 80°C."
Water Washing,Geological Process,The NLD explicitly defines the term as a 'process' of secondary alteration that modifies the composition of petroleum within a reservoir.,"Lavagem por água é um processo de alteração secundária do petróleo que consiste na dissolução e remoção dos seus componentes mais solúveis pela ação da água no reservatório. Este processo aumenta a concentração relativa dos compostos mais pesados, resultando em um óleo de maior densidade e viscosidade. No contexto do Pré-Sal brasileiro, está frequentemente associada à infiltração de águas meteóricas e é responsável pela formação de zonas de óleo pesado no contato óleo-água."
Gas Chimney,Geological Structure,"The NLD defines it as a geological feature that alters the arrangement of overlying rock layers due to gas migration, fitting the definition of a structure describing the internal arrangement of a Geological Object.","Uma Chaminé de Gás é uma feição geológica subvertical que é formada pela migração ascendente e focada de gás através das camadas de rocha sobrejacentes. Esta migração causa perturbações acústicas que geram uma anomalia sísmica, tipicamente observada como uma zona de reflexões caóticas e de baixa amplitude ('wipe-out'). No contexto do Pré-Sal, sua presença indica um sistema petrolífero ativo, mas também pode comprometer a integridade da rocha selante e degradar a imagem sísmica dos reservatórios carbonáticos."
Fluid Inclusion,Earth Fluid,"The NLD defines the term as a microscopic volume of fluid trapped within a mineral, which directly aligns with the definition of Earth Fluid as a volume of fluid that is a type of Earth Material.","Uma inclusão fluida é um volume microscópico de fluido que é aprisionado hermeticamente dentro de um cristal mineral durante seu crescimento ou em eventos pós-cristalização. Ela preserva a composição e as condições de pressão e temperatura do paleo-fluido, funcionando como um registro geológico direto. No contexto dos reservatórios carbonáticos do Pré-Sal, sua análise é fundamental para reconstruir a história termal, rastrear os pulsos de migração de hidrocarbonetos e avaliar o impacto da diagênese na qualidade do reservatório."
Biomarker,Earth Material,"The NLD defines a biomarker as a molecular organic compound present in rocks and petroleum, which fits the definition of Earth Material as a natural amount of matter generated by a geological process.","Um biomarcador é um composto orgânico molecular que, presente em extratos de rochas sedimentares e em petróleos, preserva o esqueleto de carbono de uma molécula biológica precursora. Sua análise permite a correlação geoquímica entre óleos e rochas geradoras, bem como a caracterização do paleoambiente deposicional e da evolução térmica do sistema petrolífero."
Isotope,object,"The NLD defines an isotope as an atomic variant of a chemical element, which is a material entity that manifests causal unity, fitting the BFO definition of an object.","Isótopo é uma variante atômica de um elemento químico que, por possuir um número de nêutrons distinto, exibe uma assinatura geoquímica única. Sua análise, como a das razões de estrôncio (⁸⁷Sr/⁸⁶Sr) e carbono (δ¹³C), é fundamental para a datação, correlação estratigráfica e reconstrução dos processos diagenéticos que afetaram os reservatórios carbonáticos do Pré-Sal."
Geothermometer,process,"The NLD defines the term as a 'method that estimates' paleotemperature, which is an action or series of actions that unfolds over time, fitting the definition of a BFO process.","Geotermômetro é um método que estima a paleotemperatura de rochas com base em propriedades físico-químicas de seus constituintes, como minerais, matéria orgânica ou inclusões fluidas, sendo crucial para a reconstrução da história termal de uma bacia sedimentar. A determinação da temperatura máxima de soterramento é fundamental para calibrar modelos de maturação da rocha geradora e prever o tempo da geração de hidrocarbonetos. No sistema petrolífero do Pré-Sal, essa análise também é essencial para compreender a evolução diagenética que controla a qualidade dos reservatórios carbonáticos."
Geobarometer,generically dependent continuant,"The NLD defines a geobarometer as a 'method', which is an abstract pattern or set of instructions that can be realized multiple times, fitting the definition of a generically dependent continuant.","Um geobarômetro é um método que quantifica a paleopressão sob a qual uma rocha foi formada ou alterada, utilizando como base o equilíbrio termodinâmico de associações minerais ou as propriedades de inclusões fluidas que são sensíveis à pressão. A sua aplicação é fundamental na reconstrução da história de soterramento das bacias sedimentares, influenciando a compreensão da evolução diagenética e da qualidade dos reservatórios do Pré-Sal."
Vitrinite Reflectance,quality,"The NLD describes it as an optical parameter that quantifies thermal maturation, which is a measurable property that inheres in the organic matter of a rock.",A Reflectância da Vitrinita é um parâmetro óptico que quantifica o grau de maturação térmica da matéria orgânica em rochas sedimentares. Este indicador é obtido a partir da medição da porcentagem de luz refletida pela superfície polida de macerais do grupo da vitrinita. Seu valor é fundamental para determinar as janelas de geração de óleo e gás em sistemas petrolíferos como os do Pré-Sal.
Rock-Eval Pyrolysis,Geological Process,"The NLD defines it as a geochemical method involving programmed heating to evaluate a rock sample, which is a physical and chemical process used to analyze a geological object.","A Pirólise Rock-Eval é um método geoquímico que, através do aquecimento programado de uma amostra de rocha em atmosfera inerte, avalia a quantidade, o tipo e a maturidade térmica da sua matéria orgânica. Este ensaio quantifica os hidrocarbonetos livres (S1), o potencial gerador de hidrocarbonetos do querogênio (S2) e o dióxido de carbono liberado (S3). Os resultados, incluindo a temperatura de máxima geração (Tmax), são fundamentais para caracterizar o potencial petrolífero e o estágio evolutivo das rochas geradoras, como os folhelhos lacustres do Pré-Sal."
Pyrolysis,Geological Process,"The NLD defines it as an analytical method that thermally decomposes organic matter in a rock, which is a chemical process that modifies a geological object.","Pirólise é um método geoquímico analítico que decompõe termicamente a matéria orgânica contida em uma amostra de rocha, na ausência de oxigênio, para avaliar a quantidade, qualidade e maturidade térmica de uma rocha geradora."
Apatite Fission Track,Geological Structure,"The NLD describes it as a microscopic linear damage within the crystal lattice of a mineral, which fits the definition of a feature related to the internal arrangement of a Geological Object.","Trilha de Fissão em Apatita é um dano linear microscópico que se forma na rede cristalina do mineral devido à fissão espontânea de impurezas de urânio-238. A densidade e o comprimento dessas trilhas funcionam como um termocronômetro de baixa temperatura, registrando a passagem da rocha por temperaturas entre aproximadamente 60 e 120°C. No contexto do Pré-Sal, sua análise é fundamental para reconstruir a história de soterramento e exumação, restringindo a modelagem da maturação das rochas geradoras e a evolução do sistema petrolífero."
Zircon Fission Track,Geological Structure,"The NLD describes this as a microscopic linear damage within the crystalline structure of a mineral, which fits the definition of a Geological Structure as a feature describing the internal arrangement of a Geological Object.","Traço de Fissão em Zircão é um dano linear microscópico que é formado na estrutura cristalina do mineral zircão pela passagem de fragmentos resultantes da fissão espontânea de um átomo de urânio-238. Sua densidade funciona como um termocronômetro de baixa temperatura, registrando o tempo decorrido desde que a rocha resfriou através de uma zona de temperatura específica, sensível ao anelamento. No contexto do Pré-Sal, sua análise é crucial para reconstituir a evolução tectono-termal das bacias, restringindo o tempo dos eventos de soerguimento e erosão que impactaram a maturação e migração no sistema petrolífero."
Condensate,Earth Fluid,"The NLD describes condensate as a fluid mixture of hydrocarbons found in geological reservoirs, which fits the definition of an Earth Fluid.","Condensado é uma mistura de hidrocarbonetos de baixa densidade que se encontra em fase gasosa nas condições de pressão e temperatura do reservatório, mas que se liquefaz parcialmente quando a pressão é reduzida abaixo do seu ponto de orvalho. Este fluido é frequentemente encontrado nas capas de gás dos reservatórios carbonáticos do Pré-Sal, associado a óleos voláteis e altas concentrações de CO₂."
