Term,NLD
Vertical Migration,"Migração Vertical é o processo de fluxo de fluidos que descreve o movimento ascendente de hidrocarbonetos desde a rocha geradora em direção a posições estratigráficas mais rasas. Este movimento é impulsionado principalmente por forças de empuxo resultantes da diferença de densidade entre os hidrocarbonetos e a água de formação. No contexto do Pré-Sal, ocorre predominantemente através de falhas e fraturas que cortam as sequências carbonáticas infra-sal."
Lateral Migration,"Migração Lateral é um processo de migração secundária que consiste no fluxo predominantemente horizontal de hidrocarbonetos através de rochas carreadoras porosas, desde a área de geração até a sua acumulação em uma trapa geológica. Este movimento é impulsionado principalmente por forças de empuxo e controlado pela geometria e continuidade das fácies carreadoras, como os coquinas e microbialitos do Pré-Sal. Tal mecanismo é fundamental para o carregamento de grandes acumulações em trapas estruturais e estratigráficas distantes das cozinhas de geração."
Migration Focus,"Foco de Migração é uma área de convergência de fluxos de hidrocarbonetos que canaliza a carga de uma extensa cozinha de geração para uma trapa ou um conjunto de trapas prospectivas. Esta concentração é frequentemente controlada por elementos estruturais, como altos de embasamento e falhas, que direcionam a migração secundária através de leitos carreadores. A definição desta feição é um elemento crítico na avaliação do risco de carga em prospectos exploratórios do Pré-Sal."
Biodegradation,"Biodegradação é um processo de alteração secundária do petróleo que é causado pela atividade metabólica de microrganismos no reservatório. Este processo remove seletivamente compostos, como os n-alcanos, resultando em um aumento da densidade e viscosidade do óleo. Sua ocorrência é controlada principalmente pela temperatura, sendo mais intensa em reservatórios com temperaturas inferiores a 80°C."
Water Washing,"Lavagem por água é um processo de alteração secundária do petróleo que consiste na dissolução e remoção dos seus componentes mais solúveis pela ação da água no reservatório. Este processo aumenta a concentração relativa dos compostos mais pesados, resultando em um óleo de maior densidade e viscosidade. No contexto do Pré-Sal brasileiro, está frequentemente associada à infiltração de águas meteóricas e é responsável pela formação de zonas de óleo pesado no contato óleo-água."
Gas Chimney,"Uma Chaminé de Gás é uma feição geológica subvertical que é formada pela migração ascendente e focada de gás através das camadas de rocha sobrejacentes. Esta migração causa perturbações acústicas que geram uma anomalia sísmica, tipicamente observada como uma zona de reflexões caóticas e de baixa amplitude ('wipe-out'). No contexto do Pré-Sal, sua presença indica um sistema petrolífero ativo, mas também pode comprometer a integridade da rocha selante e degradar a imagem sísmica dos reservatórios carbonáticos."
Fluid Inclusion,"Uma inclusão fluida é um volume microscópico de fluido que é aprisionado hermeticamente dentro de um cristal mineral durante seu crescimento ou em eventos pós-cristalização. Ela preserva a composição e as condições de pressão e temperatura do paleo-fluido, funcionando como um registro geológico direto. No contexto dos reservatórios carbonáticos do Pré-Sal, sua análise é fundamental para reconstruir a história termal, rastrear os pulsos de migração de hidrocarbonetos e avaliar o impacto da diagênese na qualidade do reservatório."
Biomarker,"Um biomarcador é um composto orgânico molecular que, presente em extratos de rochas sedimentares e em petróleos, preserva o esqueleto de carbono de uma molécula biológica precursora. Sua análise permite a correlação geoquímica entre óleos e rochas geradoras, bem como a caracterização do paleoambiente deposicional e da evolução térmica do sistema petrolífero."
Isotope,"Isótopo é uma variante atômica de um elemento químico que, por possuir um número de nêutrons distinto, exibe uma assinatura geoquímica única. Sua análise, como a das razões de estrôncio (⁸⁷Sr/⁸⁶Sr) e carbono (δ¹³C), é fundamental para a datação, correlação estratigráfica e reconstrução dos processos diagenéticos que afetaram os reservatórios carbonáticos do Pré-Sal."
Geothermometer,"Geotermômetro é um método que estima a paleotemperatura de rochas com base em propriedades físico-químicas de seus constituintes, como minerais, matéria orgânica ou inclusões fluidas, sendo crucial para a reconstrução da história termal de uma bacia sedimentar. A determinação da temperatura máxima de soterramento é fundamental para calibrar modelos de maturação da rocha geradora e prever o tempo da geração de hidrocarbonetos. No sistema petrolífero do Pré-Sal, essa análise também é essencial para compreender a evolução diagenética que controla a qualidade dos reservatórios carbonáticos."
Geobarometer,"Um geobarômetro é um método que quantifica a paleopressão sob a qual uma rocha foi formada ou alterada, utilizando como base o equilíbrio termodinâmico de associações minerais ou as propriedades de inclusões fluidas que são sensíveis à pressão. A sua aplicação é fundamental na reconstrução da história de soterramento das bacias sedimentares, influenciando a compreensão da evolução diagenética e da qualidade dos reservatórios do Pré-Sal."
Vitrinite Reflectance,A Reflectância da Vitrinita é um parâmetro óptico que quantifica o grau de maturação térmica da matéria orgânica em rochas sedimentares. Este indicador é obtido a partir da medição da porcentagem de luz refletida pela superfície polida de macerais do grupo da vitrinita. Seu valor é fundamental para determinar as janelas de geração de óleo e gás em sistemas petrolíferos como os do Pré-Sal.
Rock-Eval Pyrolysis,"A Pirólise Rock-Eval é um método geoquímico que, através do aquecimento programado de uma amostra de rocha em atmosfera inerte, avalia a quantidade, o tipo e a maturidade térmica da sua matéria orgânica. Este ensaio quantifica os hidrocarbonetos livres (S1), o potencial gerador de hidrocarbonetos do querogênio (S2) e o dióxido de carbono liberado (S3). Os resultados, incluindo a temperatura de máxima geração (Tmax), são fundamentais para caracterizar o potencial petrolífero e o estágio evolutivo das rochas geradoras, como os folhelhos lacustres do Pré-Sal."
Pyrolysis,"Pirólise é um método geoquímico analítico que decompõe termicamente a matéria orgânica contida em uma amostra de rocha, na ausência de oxigênio, para avaliar a quantidade, qualidade e maturidade térmica de uma rocha geradora."
Apatite Fission Track,"Trilha de Fissão em Apatita é um dano linear microscópico que se forma na rede cristalina do mineral devido à fissão espontânea de impurezas de urânio-238. A densidade e o comprimento dessas trilhas funcionam como um termocronômetro de baixa temperatura, registrando a passagem da rocha por temperaturas entre aproximadamente 60 e 120°C. No contexto do Pré-Sal, sua análise é fundamental para reconstruir a história de soterramento e exumação, restringindo a modelagem da maturação das rochas geradoras e a evolução do sistema petrolífero."
Zircon Fission Track,"Traço de Fissão em Zircão é um dano linear microscópico que é formado na estrutura cristalina do mineral zircão pela passagem de fragmentos resultantes da fissão espontânea de um átomo de urânio-238. Sua densidade funciona como um termocronômetro de baixa temperatura, registrando o tempo decorrido desde que a rocha resfriou através de uma zona de temperatura específica, sensível ao anelamento. No contexto do Pré-Sal, sua análise é crucial para reconstituir a evolução tectono-termal das bacias, restringindo o tempo dos eventos de soerguimento e erosão que impactaram a maturação e migração no sistema petrolífero."
Condensate,"Condensado é uma mistura de hidrocarbonetos de baixa densidade que se encontra em fase gasosa nas condições de pressão e temperatura do reservatório, mas que se liquefaz parcialmente quando a pressão é reduzida abaixo do seu ponto de orvalho. Este fluido é frequentemente encontrado nas capas de gás dos reservatórios carbonáticos do Pré-Sal, associado a óleos voláteis e altas concentrações de CO₂."
Hydrogen Sulfide,"O Sulfeto de Hidrogênio é um gás ácido que, no contexto do Pré-Sal, é gerado predominantemente pela Redução Termoquímica de Sulfatos (TSR). Este processo geoquímico de alta temperatura envolve a reação entre hidrocarbonetos e os minerais de sulfato, como a anidrita, presentes na seção evaporítica. Sua presença como contaminante tóxico e corrosivo nas acumulações de hidrocarbonetos impacta diretamente a segurança operacional, a seleção de materiais e a viabilidade econômica dos projetos."
Formation Water,"Água de formação é a água que ocorre naturalmente nos espaços porosos de uma formação geológica. No contexto do Pré-Sal brasileiro, esta água é tipicamente uma salmoura hipersalina, com altas concentrações de sais dissolvidos e gases como o CO₂, que coexiste com os hidrocarbonetos no reservatório. Ela representa um componente fundamental do sistema petrolífero, influenciando as propriedades dos fluidos e as interações rocha-fluido."
Brine,"Salmoura é uma solução aquosa hipersalina que satura o espaço poroso das rochas reservatório, representando o fluido conato do sistema petrolífero. No contexto do Pré-Sal brasileiro, sua composição é tipicamente rica em cloretos de cálcio e magnésio, decorrente da interação com as sequências carbonáticas e evaporíticas adjacentes. Esta composição influencia diretamente os processos diagenéticos e as propriedades do reservatório."
Connate Water,"Água conata é uma água intersticial que foi aprisionada nos poros de uma rocha sedimentar durante sua deposição original. Sua composição química reflete as condições do ambiente deposicional, que no contexto dos carbonatos do Pré-Sal brasileiro corresponde a um sistema lacustre de salinidade elevada. Esta água ocupa o espaço poroso antes da migração de hidrocarbonetos e sua porção irredutível, mantida por forças capilares, controla propriedades petrofísicas fundamentais do reservatório."
Meteoric Water,"Água meteórica é uma água de subsuperfície, de origem atmosférica, que se infiltra nos sedimentos durante períodos de exposição subaérea. No contexto do Pré-Sal brasileiro, sua percolação através dos carbonatos lacustres é o principal agente diagenético responsável pela dissolução e criação de porosidade secundária. Este processo, conhecido como diagênese meteórica, é fundamental para o desenvolvimento da excepcional qualidade dos reservatórios da sequência deposicional sag."
Oil-Water Contact,"O Contato Óleo-Água é uma superfície isobárica em um reservatório que marca o limite inferior de uma acumulação de petróleo, separando a zona predominantemente saturada por óleo da zona subjacente saturada por água devido à segregação gravitacional. Este limite pode se manifestar como uma interface nítida ou, mais comumente em reservatórios carbonáticos, como uma zona de transição capilar onde a saturação de água aumenta gradualmente com a profundidade. A sua definição precisa é fundamental para o cálculo do volume de hidrocarbonetos in-place."
Gas-Oil Contact,"Contato Gás-Óleo é a superfície, geralmente sub-horizontal e isopotencial, que delimita a transição entre a capa de gás livre e a coluna de óleo dentro de uma mesma acumulação em um reservatório. Esta interface é controlada pela segregação gravitacional dos fluidos, sendo sua correta identificação crítica para a estimativa de volumes e para a estratégia de desenvolvimento dos campos do Pré-Sal."
Gas-Water Contact,"O Contato Gás-Água é uma superfície de equilíbrio hidrostático em um reservatório que delimita a base de uma acumulação de gás, separando-a do aquífero subjacente. Sua posição é governada pelo balanço entre as forças de empuxo da coluna de gás e as pressões capilares do sistema poroso da rocha. Esta interface raramente é abrupta, constituindo uma zona de transição com saturação de água variável."
Fluid Property,"Propriedade de Fluido é um parâmetro físico-químico que quantifica o comportamento de fase e as condições de escoamento dos hidrocarbonetos e da água de formação sob as condições de pressão e temperatura do reservatório. Propriedades como viscosidade, densidade, fator volume de formação e pressão de saturação são essenciais para a modelagem do fluxo e o planejamento da produção em sistemas petrolíferos como os do Pré-Sal. A correta caracterização dessas propriedades é crítica devido à presença de CO₂ e às variações composicionais do petróleo ao longo das acumulações."
Oil Viscosity,"Viscosidade do Óleo é uma propriedade física que quantifica a resistência interna do petróleo ao escoamento sob condições de pressão e temperatura de reservatório. Essa propriedade é um parâmetro crítico para a engenharia de produção e reservatórios, pois governa a mobilidade do hidrocarboneto nos meios porosos e a eficiência dos métodos de recuperação. No contexto do Pré-Sal brasileiro, a viscosidade é tipicamente baixa devido à natureza leve dos óleos, mas sua caracterização precisa é complexa e fundamental devido às altas razões gás-óleo e concentrações variáveis de CO₂."
Oil Density,"Densidade do Óleo é uma propriedade física que expressa a razão entre a massa e o volume de uma amostra de petróleo, medida sob condições específicas de temperatura e pressão. É comumente expressa em graus API (°API), uma escala inversa onde valores mais altos indicam óleos mais leves e de maior valor comercial. No contexto do Pré-Sal brasileiro, esta propriedade é fundamental para caracterizar os hidrocarbonetos acumulados, que são predominantemente óleos leves a médios de alta qualidade."
API Gravity,"Grau API é uma escala de medida inversa que expressa a densidade do petróleo em relação à água, sendo um parâmetro fundamental para a classificação e valoração econômica do óleo. Valores elevados de Grau API, tipicamente acima de 25°, são característicos dos óleos leves e de alta qualidade encontrados nos reservatórios carbonáticos do Pré-Sal."
Gas-Oil Ratio,"A Razão Gás-Óleo (RGO) é um parâmetro do fluido de reservatório que quantifica o volume de gás, incluindo componentes não-hidrocarbonetos como o CO₂, liberado por unidade de volume de óleo quando ambos são medidos em condições padrão de superfície. Este valor é crítico para a classificação dos fluidos do Pré-Sal, frequentemente óleos voláteis de alta RGO, e para o dimensionamento das instalações de produção e dos sistemas de reinjeção de gás."
Bubble Point,"Ponto de bolha é a pressão, a uma dada temperatura de reservatório, na qual a primeira bolha de gás se exsolve de uma acumulação de óleo quando a pressão do sistema é reduzida. Esta pressão define a transição do fluido de um estado monofásico líquido (óleo subsaturado) para um estado bifásico (óleo saturado e gás livre). Manter a pressão do reservatório acima deste ponto é um parâmetro crítico para o gerenciamento da produção e otimização da recuperação em reservatórios de óleo volátil como os do Pré-Sal."
Dew Point,"Ponto de Orvalho é a condição termodinâmica que marca o início da condensação de uma fase líquida a partir de um fluido de reservatório predominantemente gasoso. Nos reservatórios do Pré-Sal, quando a pressão de produção cai abaixo da pressão de ponto de orvalho, ocorre o fenômeno da condensação retrógrada. Este processo resulta na formação de um banco de condensado no meio poroso, o que pode reduzir a permeabilidade relativa ao gás e impactar negativamente a recuperação dos hidrocarbonetos."
Formation Volume Factor,"O Fator Volume de Formação é uma razão que relaciona o volume ocupado por uma fase de fluido (óleo, gás ou água) nas condições de pressão e temperatura do reservatório com o seu volume correspondente nas condições padrão de superfície. Este parâmetro adimensional é fundamental para a correta estimativa de volumes de hidrocarbonetos in-situ e para a modelagem do comportamento dos fluidos durante a produção."
Solution Gas Drive,"Empuxo por Gás em Solução é um mecanismo de produção primário que utiliza a energia da expansão do gás que se libera da solução no óleo quando a pressão do reservatório cai abaixo da pressão de bolha. Típico de reservatórios de óleo volátil como os do Pré-Sal, este mecanismo resulta em um rápido declínio de pressão e no aumento contínuo da razão gás-óleo (RGO) produzida."
Water Drive,"Empuxo de água é um mecanismo de produção de reservatório que utiliza a energia proveniente da expansão de um aquífero adjacente ou subjacente para deslocar os hidrocarbonetos em direção aos poços produtores. Este mecanismo é caracterizado pela manutenção da pressão do reservatório durante a produção, sendo um fator crucial para a alta recuperação de óleo nos carbonatos lacustres do Pré-Sal brasileiro. A eficiência do empuxo de água depende do tamanho do aquífero e da permeabilidade da rocha na interface óleo-água."
Gas Cap Drive,"Mecanismo de Gás em Capa é um mecanismo de acionamento de reservatório que fornece a energia para a produção de óleo através da expansão de uma capa de gás livre sobrejacente. A expansão do gás mantém a pressão do reservatório, retardando a queda de pressão e maximizando a recuperação do óleo. Nos reservatórios carbonáticos do Pré-Sal, o gerenciamento deste mecanismo é crítico para controlar o avanço do contato gás-óleo e evitar a conificação de gás nos poços produtores."
Reservoir Pressure,"Pressão de reservatório é a pressão exercida pelos fluidos contidos no espaço poroso de uma rocha, a qual representa a energia potencial que governa o comportamento de fase dos hidrocarbonetos e impulsiona seu fluxo para os poços produtores."
Reservoir Temperature,"Temperatura de Reservatório é um parâmetro termodinâmico que representa o estado térmico da rocha e dos fluidos contidos em um reservatório sob suas condições originais de pressão e profundidade. Este parâmetro é um controlador fundamental das propriedades dos fluidos, como viscosidade, comportamento de fase e solubilidade de gases, sendo crucial para a modelagem do reservatório. Nos reservatórios carbonáticos do Pré-Sal brasileiro, as elevadas temperaturas exercem forte influência sobre a presença de CO2 em estado supercrítico e a ocorrência de óleos leves e gás."
Geothermal Gradient,"Gradiente Geotérmico é a taxa de variação da temperatura com o aumento da profundidade que, no contexto do pré-sal brasileiro, constitui o principal controle sobre a maturação térmica das rochas geradoras lacustres. Este parâmetro governa a transformação da matéria orgânica em óleo e gás, definindo a localização e o tempo das janelas de geração e expulsão de hidrocarbonetos. Sua magnitude e distribuição espacial são fortemente influenciadas pela espessa camada de sal evaporítico, cuja alta condutividade térmica cria anomalias que impactam diretamente o risco exploratório associado à fase do fluido."
Overpressure,"Sobrepressão é uma condição geológica de subsuperfície na qual a pressão de poro dos fluidos contidos em uma formação excede a pressão hidrostática esperada para aquela profundidade. No contexto do Pré-Sal brasileiro, esta condição é frequentemente gerada pela combinação da geração de hidrocarbonetos e do soterramento rápido sob a camada de sal, que impede o escape dos fluidos. Sua quantificação é um parâmetro crítico para o projeto de poços e para a avaliação da integridade do selo e do risco exploratório."
Pore Pressure,"Pressão de Poros é a pressão de fluido que é exercida pelos fluidos contidos no espaço poroso interconectado de uma rocha. Nos sistemas petrolíferos do Pré-Sal, esta pressão comumente excede o gradiente hidrostático normal, estabelecendo um regime de sobrepressão selado pela espessa camada de sal. A sua predição acurada é um parâmetro fundamental para o projeto seguro de poços e para a compreensão da migração e acumulação de hidrocarbonetos."
Hydrostatic Pressure,"Pressão Hidrostática é a pressão de poros que é exercida pelo peso de uma coluna contínua de fluidos de formação em equilíbrio, cujo gradiente é determinado pela densidade desses fluidos."
Lithostatic Pressure,"Pressão litostática é a tensão confinante em um ponto na subsuperfície que é gerada pelo peso da coluna de rochas e fluidos sobrejacentes. Ela corresponde à componente de tensão vertical (σv) e é um fator fundamental no controle da compactação, porosidade e comportamento mecânico das rochas. No Pré-Sal brasileiro, a sua correta determinação é crucial para a análise geomecânica dos reservatórios carbonáticos e para a engenharia de poços, dada a expressiva espessura e as propriedades reológicas da camada de sal."
Effective Stress,"Tensão Efetiva é a tensão que atua sobre o arcabouço sólido de uma rocha, correspondendo à diferença entre a tensão total litostática e a pressão de fluido nos poros. Este parâmetro governa o comportamento geomecânico do reservatório, controlando processos como compactação, deformação e as variações de porosidade e permeabilidade. Sua quantificação é crítica para a análise de estabilidade de poços e o gerenciamento da produção nos reservatórios carbonáticos do Pré-Sal, onde altas pressões de poros são comuns."
Seismic Attribute,"Um atributo sísmico é uma quantidade, calculada a partir de dados sísmicos, que isola ou realça informações geológicas de interesse, sendo crucial na caracterização de reservatórios carbonáticos do Pré-Sal para a predição de porosidade e delimitação de fácies."
Seismic Facies,"Fácies sísmica é uma unidade sísmica tridimensional mapeável que se distingue por um conjunto específico de parâmetros de reflexão, como amplitude, frequência, continuidade e configuração interna. No contexto do Pré-Sal brasileiro, a interpretação dessas unidades é fundamental para inferir a distribuição de litofácies carbonáticas de reservatório, como microbialitos e coquinas, e suas propriedades petrofísicas."
Seismic Inversion,"Inversão Sísmica é um processo geofísico que transforma dados de reflexão sísmica em um modelo quantitativo de propriedades elásticas da rocha, como a impedância acústica. Este modelo é fundamental para a caracterização de reservatórios, permitindo a predição da distribuição de litofácies e da qualidade de rochas carbonáticas, como as do Pré-Sal. A sua aplicação direta visa reduzir as incertezas na delimitação de corpos reservatórios e na estimativa de suas propriedades petrofísicas."
Seismic Stratigraphy,Estratigrafia Sísmica é a disciplina geológica que utiliza a geometria e os padrões de empilhamento de refletores sísmicos para mapear sequências deposicionais e prever a distribuição de litofácies e sistemas deposicionais no subsolo.
Seismic Geomorphology,"Geomorfologia Sísmica é uma disciplina da geociência que utiliza atributos sísmicos e a morfologia de horizontes para a interpretação de paleoambientes deposicionais. No contexto do Pré-Sal brasileiro, esta abordagem é fundamental para mapear a distribuição e a geometria dos reservatórios carbonáticos lacustres. Ela permite a identificação de feições como corpos de coquinas, plataformas microbianas e sistemas de retrabalhamento associados a flutuações do nível do lago."
Amplitude,"Amplitude é um atributo sísmico que quantifica a intensidade de uma reflexão gerada pelo contraste de impedância acústica nas interfaces geológicas, sendo fundamental na interpretação de reservatórios carbonáticos do Pré-Sal. Suas anomalias são investigadas para mapear variações de porosidade, o conteúdo de fluidos e a distribuição de litofácies. Variações de amplitude podem indicar tanto zonas de reservatório poroso quanto a presença de rochas com propriedades contrastantes, como intrusivas vulcânicas."
Frequency,"Frequência é uma propriedade física da onda sísmica que quantifica o número de suas oscilações por unidade de tempo, sendo medida em Hertz (Hz). O seu conteúdo espectral é o principal fator que governa a resolução vertical da imagem sísmica. A análise da frequência é, portanto, fundamental para a delimitação e caracterização dos complexos reservatórios carbonáticos do Pré-Sal."
Phase,"Fase é um estado termodinâmico de um fluido contido em um reservatório ou sistema petrolífero que se caracteriza por propriedades físicas e químicas macroscópicas uniformes e distintas. No contexto do Pré-Sal brasileiro, as fases primárias de interesse são o óleo, o gás (incluindo o CO2) e a água, cujo comportamento é governado pelas condições de alta pressão e temperatura (HPHT) dos reservatórios. A correta identificação da fase é fundamental para a modelagem de reservatórios e para a definição da estratégia de produção."
Reflection,"Uma reflexão é um evento sísmico que resulta do retorno de energia de uma onda acústica ao encontrar uma interface entre duas camadas com diferentes impedâncias acústicas. No contexto do Pré-Sal, estas interfaces correspondem a limites estratigráficos, contatos litológicos entre fácies carbonáticas, ou contatos de fluidos dentro dos reservatórios. A análise de sua amplitude e continuidade permite o mapeamento da geometria dos reservatórios e a inferência sobre a qualidade das rochas e a presença de hidrocarbonetos."
Refraction,"Refração é o fenômeno físico que descreve a mudança na trajetória de uma onda sísmica ao cruzar uma interface que separa camadas geológicas com velocidades de propagação distintas. No contexto do Pré-Sal, este princípio é crucial para a construção de modelos de velocidade e para o correto imageamento sísmico dos reservatórios carbonáticos sob a espessa camada de sal."
Diffraction,"Difração é um fenômeno de propagação de onda sísmica que ocorre quando a energia encontra descontinuidades geológicas de dimensões inferiores ao seu comprimento de onda, como falhas, fraturas ou feições cársticas. Essa energia espalhada é fundamental para a imagem de feições em escala sub-sísmica que não são resolvidas pela reflexão convencional. No Pré-Sal, a análise da difração é uma ferramenta essencial para a caracterização da heterogeneidade dos reservatórios carbonáticos."
Velocity Model,"Modelo de Velocidade é uma representação geofísica tridimensional que descreve a distribuição das velocidades de propagação de ondas sísmicas na subsuperfície, sendo o insumo fundamental para a migração em profundidade e a conversão tempo-profundidade dos dados. Sua acurácia é um fator crítico no contexto do Pré-Sal brasileiro, pois governa o correto imageamento e o posicionamento estrutural dos reservatórios carbonáticos localizados abaixo das complexas camadas de sal. A construção de um modelo robusto integra dados sísmicos, informações de poços e o conhecimento geológico da bacia para mitigar os riscos exploratórios."
Anisotropy,"Anisotropia é uma propriedade de um volume rochoso que descreve a variação de uma medida física, como a velocidade sísmica ou a permeabilidade, em função da direção em que é medida. Nos reservatórios carbonáticos do Pré-Sal, esta propriedade é controlada principalmente pela orientação preferencial de fraturas, feições de dissolução e da fábrica deposicional. A sua quantificação é fundamental para o correto imageamento sísmico e para a simulação de fluxo dos reservatórios."
AVO,"AVO (Amplitude Versus Offset) é uma técnica geofísica que analisa a variação da amplitude da reflexão sísmica em função da distância entre a fonte e o receptor (offset). Esta análise é utilizada como um indicador direto de hidrocarbonetos (DHI) para inferir a presença de fluidos e as propriedades elásticas das rochas-reservatório. No contexto do Pré-Sal brasileiro, é uma ferramenta fundamental para a caracterização de reservatórios carbonáticos e para a discriminação entre zonas saturadas com óleo, gás ou água."
P-Wave Velocity,"A Velocidade da Onda P é um parâmetro geofísico que mede a rapidez com que uma onda sísmica compressional se propaga através de um meio geológico, sendo controlada pelas propriedades elásticas da rocha e dos fluidos nela contidos. No contexto do Pré-Sal, é uma propriedade fundamental para a conversão tempo-profundidade e para a caracterização de reservatórios carbonáticos, permitindo a estimativa de porosidade e a discriminação de fluidos."
S-Wave Velocity,"Velocidade da Onda S é um parâmetro físico da rocha que mede a celeridade de propagação de uma onda de cisalhamento, cujo deslocamento de partícula é perpendicular à direção de propagação. Este parâmetro é sensível exclusivamente à rigidez e à densidade da matriz rochosa, pois a onda de cisalhamento não se propaga através de fluidos. Sua utilização é fundamental na discriminação de fluidos e na caracterização geomecânica dos reservatórios carbonáticos do Pré-Sal quando combinada com a velocidade da onda P."
Poisson's Ratio,"O Coeficiente de Poisson é um parâmetro elástico adimensional que quantifica a deformação transversal de uma rocha em resposta a uma deformação axial. Nos reservatórios carbonáticos do Pré-Sal, é um atributo chave derivado de dados sísmicos para a discriminação de litologias e a identificação de fluidos. Valores anomalamente baixos são frequentemente associados a carbonatos de alta qualidade com porosidade e/ou presença de hidrocarbonetos, em contraste com folhelhos encaixantes de valores mais elevados."
Young's Modulus,"O Módulo de Young é um parâmetro geomecânico que mede a rigidez de uma rocha, definido como a razão entre a tensão uniaxial e a deformação elástica resultante na direção dessa tensão. Este módulo é essencial para a modelagem da compactação e da estabilidade de poços em reservatórios carbonáticos heterogêneos, como os do Pré-Sal, e para a calibração de propriedades elásticas derivadas de dados sísmicos e de perfis."
Bulk Modulus,"Módulo de Incompressibilidade é um módulo elástico que quantifica a resistência de uma rocha ou fluido à alteração de volume quando submetido a uma pressão hidrostática. No contexto do Pré-Sal, é um parâmetro fundamental na física de rochas para a substituição de fluidos e na análise AVO, permitindo a discriminação de litologias e fluidos nos reservatórios carbonáticos. Juntamente com o módulo de cisalhamento, ele define o comportamento elástico do meio, sendo essencial para a modelagem geomecânica e a previsão da compactação do reservatório."
Shear Modulus,"Módulo de Cisalhamento é um módulo elástico que quantifica a rigidez do arcabouço rochoso a uma deformação por cisalhamento, na qual não há variação de volume. Por ser insensível ao tipo de fluido contido nos poros, é um parâmetro geomecânico e sísmico fundamental para a discriminação de litofácies e a avaliação da qualidade dos reservatórios carbonáticos do Pré-Sal."
Lamé Parameter,"Um Parâmetro de Lamé é um de dois coeficientes elásticos (λ e μ) que descreve a relação entre tensão e deformação em um meio isotrópico. No contexto geofísico do Pré-sal, estes parâmetros são cruciais para a caracterização de reservatórios, onde o primeiro parâmetro (λ) está associado à incompressibilidade e é sensível a fluidos, enquanto o segundo (μ) representa a rigidez da matriz rochosa. Atributos sísmicos derivados, como lambda-rho (λρ) e mu-rho (μρ), são utilizados na interpretação quantitativa para discriminar litofácies carbonáticas e identificar a presença de hidrocarbonetos."
Brittleness,"Fragilidade é uma propriedade geomecânica que descreve a tendência de uma rocha a se romper por fraturamento sob a aplicação de um esforço, com mínima deformação plástica precedente. Em reservatórios carbonáticos como os do Pré-Sal, esta propriedade é fundamental para o desenvolvimento de redes de fraturas naturais que controlam a permeabilidade efetiva do sistema. Consequentemente, a fragilidade é um atributo chave na identificação de zonas de maior produtividade, onde a rocha foi capaz de sustentar fraturas abertas."
Ductility,"Ductilidade é uma propriedade mecânica de um material geológico que descreve sua capacidade de sofrer deformação plástica e permanente sob a ação de um esforço tectônico ou gravitacional, sem que ocorra uma fratura rúptil. No contexto do Pré-Sal brasileiro, esta propriedade é fundamental para a rocha selante evaporítica, permitindo sua fluidez e garantindo a integridade do selo sobre os reservatórios carbonáticos. Este comportamento contrasta com a fragilidade, na qual o material se fratura quando submetido a um esforço."
Rock Strength,"A resistência da rocha é uma propriedade geomecânica que quantifica a tensão máxima que um material geológico pode suportar antes de sofrer ruptura ou deformação irrecuperável. Em reservatórios carbonáticos heterogêneos como os do Pré-Sal, esta propriedade é um parâmetro fundamental que governa a estabilidade de poços e a compactação do reservatório sob produção, sendo fortemente controlada pela fábrica deposicional e pelo histórico diagenético."
Rock Compressibility,"A Compressibilidade da Rocha é uma propriedade petrofísica que quantifica a variação fracional do volume poroso em resposta a uma mudança na tensão efetiva. Nos reservatórios carbonáticos do Pré-Sal, esta propriedade é fundamental para prever a compactação do arcabouço rochoso e a sustentação da pressão durante a produção de hidrocarbonetos. Seu valor é fortemente controlado pela complexa e heterogênea rede de poros, incluindo poros vugulares e fraturas, que caracteriza estas fácies."
Uniaxial Compressive Strength,"A Resistência à Compressão Uniaxial é uma propriedade geomecânica que quantifica a máxima tensão compressiva axial que uma amostra de rocha pode suportar antes de romper, na ausência de pressão confinante. Este parâmetro é fundamental para a modelagem da estabilidade de poços e para a previsão da compactação em reservatórios carbonáticos complexos, como os do Pré-Sal. Sua determinação é essencial para o projeto de perfuração e para a gestão da vida produtiva do campo."
Triaxial Stress,"Tensão Triaxial é um estado de tensão que se caracteriza pela atuação de três tensões principais mutuamente perpendiculares e de magnitudes distintas sobre um volume de rocha. No domínio do Pré-Sal, a sua complexa distribuição, modulada pela tectônica do sal, controla a integridade geomecânica dos reservatórios carbonáticos e a estabilidade dos poços. A sua caracterização é, portanto, fundamental para o desenvolvimento seguro e eficiente desses campos petrolíferos."
Grain Density,"Densidade do Grão é um parâmetro petrofísico que representa a massa por unidade de volume da matriz mineral sólida de uma rocha, desconsiderando o seu espaço poroso. Este parâmetro é uma propriedade intrínseca da litologia, sendo fundamental para o cálculo da porosidade a partir de perfis de densidade. Nos reservatórios carbonáticos do Pré-Sal, sua magnitude é crucial para distinguir entre rochas compostas majoritariamente por calcita (≈2,71 g/cm³) e dolomita (≈2,87 g/cm³)."
Bulk Density,"Densidade Bulk é uma propriedade petrofísica que expressa a massa por unidade de volume de uma formação rochosa, considerando a contribuição combinada da matriz mineral, da porosidade e dos fluidos contidos nos poros. Obtida principalmente através de perfis geofísicos de poço, ela é um parâmetro fundamental para a determinação da porosidade dos reservatórios carbonáticos."
